1,Tell me a joke about narrators.,"[me narrating a documentary about narrators] ""I can't hear what they're saying cuz I'm talking""",Why did the narrator go to therapy? Because he kept getting stuck in the same plot holes!
2,Tell me a joke about the benefits of garlic.,"Telling my daughter garlic is good for you. Good immune system and keeps pests away.Ticks, mosquitos, vampires... men.","Why did the garlic refuse to share its benefits? Because it didn't want to take any ""vamp""ires!"
3,Tell me a joke about a workplace mishap.,I've been going through a really rough period at work this week It's my own fault for swapping my tampax for sand paper.,Why did the office chair break? Because it couldn't handle the pressure of being the boss's favorite seat!
4,Tell me a witty joke about choosing dinner companions.,"If I could have dinner with anyone, dead or alive... ...I would choose alive. -B.J. Novak-",Why did the picky eater bring a mirror to dinner? To make sure they were surrounded by the most interesting person in the room!
5,Come up with a prompt for a joke involving a surprising twist.,Two guys walk into a bar. The third guy ducks.,Why did the office chair break? Because it couldn't handle the pressure of being the boss's favorite seat!
6,Tell me a joke about Barbie and Ken.,Why can't Barbie get pregnant? Because Ken comes in a different box. Heyooooooo,Why did Barbie break up with Ken? Because he was always too plastic about their relationship!
7,Tell me a joke about a musician getting into trouble.,Why was the musician arrested? He got in treble.,Why did the musician end up in trouble? Because he couldn't handle the treble of life and kept getting into bass situations!
8,Tell me a joke about someone spending their money foolishly.,Did you hear about the guy who blew his entire lottery winnings on a limousine? He had nothing left to chauffeur it.,Why did the person spend all their money on origami paper? Because they heard it was a great way to fold their savings!
9,Tell me a joke about dealing with an unexpected situation.,What do you do if a bird shits on your car? Don't ask her out again.,"How do you deal with an unexpected situation? You just improvise, adapt, and pretend you meant for that to happen all along!"
10,Tell me a joke about chivalry.,He was a real gentlemen and always opened the fridge door for me,"Why did the knight bring a ladder to the castle? Because he heard chivalry was dead, so he was trying to scale new heights to save it!"
11,Tell me a joke about a parent giving unusual advice to their child.,"Telling my daugthers date that ""she has lice and its very contagious the closer you get to her."" *Correct way to parent.","Why did the parent tell their child to always carry a spoon? Because you never know when you might need to ""stir"" up some trouble!"
