3,I've been going through a really rough period at work this week It's my own fault for swapping my tampax for sand paper.,Tell me a joke about a workplace mishap., 4/5
3,I've been going through a really rough period at work this week It's my own fault for swapping my tampax for sand paper.,Tell me a joke about a workplace mishap., 4/5
4,"If I could have dinner with anyone, dead or alive... ...I would choose alive. -B.J. Novak-",Tell me a witty joke about choosing dinner companions.," 5/5 for the joke being both funny and fitting the prompt about choosing dinner companions. ""If I could have dinner with anyone, dead or alive... ...I would choose alive. -B.J. Novak-"" is a clever and amusing one-liner that directly relates to the prompt's topic."
5,Two guys walk into a bar. The third guy ducks.,Come up with a prompt for a joke involving a surprising twist., 5/5
6,Why can't Barbie get pregnant? Because Ken comes in a different box. Heyooooooo,Tell me a joke about Barbie and Ken., 4/5
7,Why was the musician arrested? He got in treble.,Tell me a joke about a musician getting into trouble., 5/5
8,Did you hear about the guy who blew his entire lottery winnings on a limousine? He had nothing left to chauffeur it.,Tell me a joke about someone spending their money foolishly., 5/5
9,What do you do if a bird shits on your car? Don't ask her out again.,Tell me a joke about dealing with an unexpected situation., 4/5
10,He was a real gentlemen and always opened the fridge door for me,Tell me a joke about chivalry., 4/5
11,"Telling my daugthers date that ""she has lice and its very contagious the closer you get to her."" *Correct way to parent.",Tell me a joke about a parent giving unusual advice to their child., 4/5
12,What should you do before criticizing Pac-Man? WAKA WAKA WAKA mile in his shoes,Create a prompt for a joke about video game characters., 4/5
13,What's the difference between an illegal Mexican and an autonomous robot...? Nothing... they were both made to steal American jobs.,Tell me a controversial joke?, 2/5
14,What do you call a barbarian you can't see? an Invisigoth.,Tell me a joke about invisible warriors., 5/5
15,"How do you spell Canda? C,eh,N,eh,D,eh",Tell me a joke about spelling a country name?, 4/5
16,You ever notice that the most dangerous thing about marijuana is getting caught with it?,Tell me a joke about the risks of marijuana., 4/5
17,"What did Arnold Schwarzenegger say at the abortion clinic? Hasta last vista, baby.",Tell me a joke about a visit to a clinic., 2/5
18,"My wife is in a bad mood. I think her boyfriend forgot their anniversary. Way to go, dude. Now we all suffer...",Tell me a joke about a forgotten anniversary., 4/5
19,My speech today will be like a mini-skirt. Long enough to cover the essentials but short enough to hold your attention!,Tell me a joke about giving a speech., 4/5
20,Thanksgiving joke What does Miley Cyrus eat for Thanksgiving? Twerky! Just kidding... Drugs. She eats drugs. -Adam Zopf @adamzopf,Tell me a Thanksgiving-themed joke., 2/5 - The joke does not fit the Thanksgiving theme and is only mildly funny.
21,Why do you never see elephants hiding in trees? 'Cause they are freaking good at it,Tell me a joke about animals and their hiding skills., 4/5
22,How did the blonde die raking leaves? She fell out of the tree.,Tell me a joke about a blonde person and raking leaves., 4/5
23,"""That guy is such a douche-bag! Is he single? Maybe I can fix him!""  women","Give me a joke about trying to ""fix"" someone in a humorous way.", 4/5
24,"My son just got a tattoo of a heart, a spade, a club, and a diamond, all without my permission. I guess I'll deal with him later.",Tell me a joke about a rebellious act by a family member., 4/5
25,What do you call a potato in space? Spudnik,Tell me a space-themed joke.," 5/5 - The joke is both space-themed and a pun, which can be quite amusing. It directly relates to the prompt and is a fitting response."
26,How to get a cop's attention,Tell me a joke about catching a police officer's attention., 4/5
27,What happens to a necrophiliac after death? Reserection,Tell me a dark humor joke., 2/5
28,Why did the chicken hold a seance? To get to the other side.,Tell me a joke about a chicken's supernatural encounter., 4/5
29,Where do baby cows go to eat lunch? At the calf-eteria.,Tell me a joke about baby animals having lunch., 5/5
30,What's the difference between a painting and Jesus. You only require one nail to put up the painting.,Tell me a joke about a religious figure?, 2/5
31,"Mom: ""Do you want this?"" Me: ""No."" Mom: ""Ok I'll give it to your brother."" Me: ""No I want it.""",Tell me a joke about sibling dynamics., 4/5
32,How do you fit 4 gays on one barstool? Flip it over!,Tell me a joke about a controversial topic., 2/5
33,I am looking forward to 6pm Thanksgiving Day when Walmart opens its doors for its annual sale of trampled human corpses.,Tell me a dark humor joke.," 2/5. The joke does not have a clear connection to Thanksgiving Day or Walmart sales, and the humor may be considered dark and insensitive."
34,"Yttrium-barium-copper oxide walks into a bar The bartender tells him, ""We don't serve superconductors here."" He leaves without resistance.",Tell me a joke about a superconductor walking into a bar.," 5/5 for the superconductor joke, it's a perfect match to the prompt and is a clever play on words."
35,A guy pick up a woman Then he puts her down,Tell me a joke about a guy picking up a woman and then putting her down., 4/5
36,"Every night, I take all of the singles out of my wallet, spread them on the bed, and pretend I was pretty that day.",Tell me a joke about being self-absorbed., 4/5
37,Which gospel contains Jesus' parable about the shades of numbers? Math hue.,Tell me a joke about a math-related parable., 4/5
38,Ibuprofen is my favorite headache medicine that also sounds like a reggae professor.,Tell me a joke about a medicine with a musical twist., 4/5
39,Ted Cruz getting elected.,Give me a joke about a surprising political event., 4/5
40,Before I destroy a wasp's nest I like to capture a single wasp and tell it my entire diabolical plan.,Tell me a joke about revealing diabolical plans to a wasp., 4/5
41,What's Al-Qaeda's favorite American football team? The New York jets.,"Tell me a joke about having dinner with someone, dead or alive."," 2/5. The joke doesn't have a clear connection to having dinner with someone, dead or alive."
42,"INTERVIEWER: Why do you want to work here? ME: *crumbs tumbling from my mouth* Oh, I don't. I was just walking by and saw you had donuts.",Tell me a joke about a job interview., 5/5
43,Coming on valentines day. Fifty shades of grey. There won't be a dry seat in the cinema.,Give me a humorous joke about a popular movie or book., 4/5
44,Did you hear about the midget psychic who escaped from prison? He's a small medium at large.,Tell me a joke about a psychic escaping from prison.," 5/5 for the joke about a psychic escaping from prison matching the prompt. The joke is clever and well-constructed, and it directly relates to the prompt about a joke involving a psychic escaping from prison."
45,"Someone didnt click the button in /r/thebutton Yeah... Thats a good joke , he impossible!",Tell me a joke about someone not clicking a button., 4/5
46,"What's the difference between a car tyre, and 365 condoms? One's a Goodyear, an the other's a great year.",Tell me a joke about a difference between two things., 5/5
47,"Roses are red, Violets are blue. I have a gun. Get in the van.",Create a humorous scenario involving an unexpected twist., 2/5
48,I've struggled for years to be above the influence... But I've never been able to get that high,Tell me a joke about struggling to resist temptation., 4/5
49,"With Facebook, you can stay in touch with people you would otherwise never talk to, but that's only one of the many awful things about it",Tell me a joke about social media?, 4/5
50,"What's the difference between a blonde and a washer? When you dump your load in a washer, it doesn't follow you around for a week.",Tell me a joke about blonde stereotypes., 5/5
51,"Have you ever heard of the movie ""Constipation""? No? Most likely because it never came out.",Tell me a joke about a movie that never came out., 4/5
52,"What's black, blue and doesn't look too well? Stevie Wonder",Tell me a joke about a famous musician., 5/5
53,I saw a French rifle on eBay today It's never been fired but I heard it was dropped once.,Tell me a joke about a dropped French rifle., 4/5
54,What did the car said to the valet? I've been through a lot.,Tell me a joke about a car and a valet., 4/5
