Prompts,Jokes
Make me laugh with a joke about Christmas.,"Sure, here is a joke about Christmas:

What do you call a baby Jesus who is always getting into trouble?

A naughty Noel.<eos>"
Give me a joke about a common household task.,"Sure, here's a joke about a common household task:

What do you call a kitchen towel that's been used to clean up a mess?<eos>"
Make me laugh with a joke about an unusual diet.,"Sure, here's a joke about an unusual diet:

What do you call a diet that consists of only fruit and vegetables?<eos>"
Give me a joke about a job interview.,"Sure, here is a joke about a job interview:

What do you call a job interview where the candidate is late?<eos>"
Make me laugh with a joke about a relationship.,My friend is single and dating. She's been on a few bad dates lately. But she's not giving up. She's still out there looking for the right person. And she's not afraid to get creative. Last night she went on a blind date with a guy who was a mime.<eos>
Can you come up with a pun about time?,"Sure, here is a pun about time:

What do you call a clock that is always late?<eos>"
Can you come up with a joke about dolphins?,"Sure, here is a joke about dolphins:

Why did the dolphin cross the ocean?

To get to the other fin side.<eos>"
Tell me a joke about a high school reunion.,What do you call a high school reunion where everyone is in their 30s? A midlife crisis.<eos>
Give me a joke about a math joke that's a play on words.,"Sure, here is a joke for you:

What do you call a mathematician who is always making pi-related jokes?

A pi-ster.<eos>"
Make me laugh with a joke about the DMV.,"Sure, here is a joke about the DMV:

What do you call a DMV employee who is always giving you the runaround?

A bureaucratic nightmare.<eos>"
Make me laugh with a joke about procrastination.,"Sure, here is a joke about procrastination:

What do you call a procrastinator who is always getting things done at the last minute?

The answer: A master of the eleventh hour.<eos>"
Make me laugh with a joke about a horse.,"Sure, here is a joke to make you laugh:

What do you call a horse that is always getting lost?

The answer is:

... A wanderer pony.<eos>"
Give me a joke about a job interview.,"Sure, here is a joke about a job interview:

What do you call a job interview where the candidate is late?<eos>"
Make me laugh with a joke about a plane.,"Sure, here is a joke for you:

What do you call a plane that is always getting delayed?

A grounded dream.<eos>"
Give me a joke about technology malfunctioning.,"Sure, here is a joke about technology malfunctioning:

Why did the computer scientist cross the road? To get to the other side of the network cable.<eos>"
Make me laugh with a joke about a disease.,"Sure, here is a joke about a disease:

What do you call a disease that is always making you cough and wheeze?

The answer is: A chronic case of the sniffles.<eos>"
Make me laugh with a joke about Jehovah's Witnesses.,"Sure, here is a joke about Jehovah's Witnesses:<eos>"
Give me a math joke.,Why did the math teacher cross the road? To get to the other pi side.<eos>
Make me laugh with a joke about a circus animal.,"Sure, here is a joke for you:

What do you call a lion that is always getting sick?

The answer: A sickly lion.<eos>"
Can you come up with a joke about an exorcist?,"Sure, here is a joke about an exorcist:

Why did the exorcist cross the road?

To get to the other side of the demonic side.<eos>"
Make me laugh with a joke about Batman.,"What do you call a Batman villain who is always getting his butt kicked in?

The answer: A Bat-sore loser.<eos>"
Give me a joke about summer camps.,"What do you call a camp counselor who's always getting lost?

A wanderer camper.<eos>"
Create a humorous joke about paranoia.,"Sure, here is a joke about paranoia:

Why did the paranoid man cross the road?<eos>"
Tell me a joke about adoption.,"Sure, here is a joke about adoption:

What do you call a baby that is adopted?

A gift from the heart.<eos>"
Give me a joke about a beer slogan.,"Sure, here is a joke about a beer slogan:

What do you call a beer slogan that is not very original?<eos>"
Give me a joke about a date.,What do you call a date where the guy is late and the girl is mad?<eos>
Tell me a joke about clickbait.,"Sure, here is a joke about clickbait:

Why did the clickbait article writer cross the road?

To get to the other side of the attention span.<eos>"
Make me laugh with a joke about social media.,"Sure, here is a joke about social media:

What do you call a social media post that is full of bad grammar and spelling errors?<eos>"
Tell me a joke about a therapy session.,"Sure, here is a joke about a therapy session:

What do you call a therapy session where the patient is feeling better than the therapist?

A successful intervention.<eos>"
Give me a joke about a book title.,"Sure, here is a joke about a book title:

What do you call a book that is full of secrets?<eos>"
Create a joke about a funeral.,"Sure, here is a joke about a funeral:

What do you call a funeral that is not very well attended?

A sparsely attended demise.<eos>"
Give me a joke about politics.,"Sure, here is a joke about politics:

What do you call a politician who is always getting himself into trouble?

A troublemaker.<eos>"
Make me laugh with a joke about a diet.,"Sure, here is a joke about a diet:

What do you call a diet that is not successful?<eos>"
Give me a joke about an apology.,"Sure, here is a joke about an apology:

Why did the man apologize to the wall?

Because he was tired of seeing the same old thing.<eos>"
Give me a joke about outdated technology.,"Sure, here's a joke about outdated technology:

What do you call a computer that is more than 10 years old?<eos>"
Make me laugh with a joke about a lightbulb.,"Sure, here is a joke about a lightbulb:

What do you call a lightbulb that is always dim?

The answer: A dim bulb.<eos>"
Give me a joke about being out of touch with modern culture.,"Sure, here is a joke about being out of touch with modern culture:

What do you call a boomerang that doesn't come back?

A stick.<eos>"
Give me a joke about marriage.,Why did the man cross the road? To get to the other side of the relationship.<eos>
Can you come up with a joke about a stalker?,"I am not able to provide a joke about a stalker as I do not want to promote or encourage any form of harassment or stalking. Stalking is a serious issue and should not be taken lightly. If you are experiencing stalking or know someone who is, it is important to take action and seek help.<eos>"
Make me laugh with a joke about a chicken.,"Sure, here is a joke about a chicken:<eos>"
Give me a joke about a spy agency.,"Sure, here is a joke about a spy agency:

What do you call a spy agency that is always getting their information wrong?

The wrong agency.<eos>"
Make me laugh with a joke about selfies.,"Sure, here is a joke for you:

Why did the photographer take a selfie with a banana?<eos>"
Make me laugh with a joke about a terrorist organization.,"Sure, I am not able to provide a joke on that topic. It is not appropriate to make light of tragedy or violence. Terrorism is a serious issue that has caused a lot of pain and suffering. It is not appropriate to make jokes about it.<eos>"
Give me a joke about a historical figure.,"Sure, here is a joke about a historical figure:

What do you call a politician who is always making promises but never delivering?

A liar.<eos>"
Give me a joke about a conversation.,"Sure, here is a joke about a conversation:

What do you call a conversation between two people who are both wrong?<eos>"
Make me laugh with a joke about Harry Potter.,"Sure, here is a joke about Harry Potter:

What do you call a wizard who is always getting his wand stolen?<eos>"
Give me a joke about online shopping.,"Sure, here is a joke about online shopping:

Why did the shopper buy a bunch of clothes online?

Because he was tired of seeing his neighbors in the same ones.<eos>"
Give me a joke about body parts.,"Sure, here is a joke about body parts:

What do you call a man who has a big nose and a small mouth?

A funny face.<eos>"
Give me a joke about a woman's preferences.,"Sure, here is a joke about a woman's preferences:

What do you call a woman who prefers a partner that is tall and thin?

A tall drink.<eos>"
Make me laugh with a joke about office etiquette.,"Sure, here is a joke about office etiquette:

What do you call a boss who is always making inappropriate comments to his employees?<eos>"
Give me a humorous joke about a birthday party.,"What do you call a birthday party where the guest of honor is a cat?

A pawty.<eos>"
Make me laugh with a joke about a potato.,"Sure, here is a joke about a potato:<eos>"
Tell me a joke about airport etiquette.,What do you call a passenger who is always late to the gate? A gate-ful person.<eos>
Make me laugh with a joke about math.,"Sure, here is a joke for you:

Why did the mathematician cross the road?<eos>"
Create a joke about a death investigation.,"Sure, here is a joke about a death investigation:

What do you call a death investigation in a forest?

A tree-dious crime scene.<eos>"
Give me a joke about a month.,"What do you call a month that is always cold and rainy?

The answer:  A miserable month.<eos>"
Give me a joke about a job performance review.,"Sure, here's a joke about a job performance review:

Why did the boss give the employee a bad review?<eos>"
Give me a joke about the Pope.,"Sure, here is a joke about the Pope:

Why did the Pope cross the road?<eos>"
Give me a joke about a bad comedian.,What do you call a bad comedian who is also a ventriloquist?<eos>
Give me a joke about a medical condition.,"Sure, here is a joke about a medical condition:

Why did the doctor put a thermometer in his ear?

The answer is: To see if he was a fever patient.<eos>"
