Prompts,Jokes
Make me laugh with a joke about a misinterpreted compliment.,"A compliment for an overweight person, but it's heard wrongly."
Create a humorous observation about an outdated aspect of a classic game.,"Sure, here you go:

Have you ever played Space Invaders with a side of nostalgia? I recently dusted off my trusty Atari 2600 and a bunch of dusty cartridges, and you know what? I was surprised to see that the aliens still haven't invented plasma cutters to make my destruction a little more timely."
Can you come up with a joke that plays on expectations?,"I thought I'd meet you at the park today, but all I have is a box of cereal and a single banana."
Give me a joke about a clever play on words.,"Sure, here's another joke you might appreciate:

Why did the tomato turn red?
Because it was in the salad dressing."
Make me laugh with a joke about a social justice warrior.,"What do you call a socially-correct warrior who constantly challenges injustices, but has never actually participated in combat?

A keyboard warrior."
Make me laugh with a joke about Christmas.,"Have you ever had a Christmas sweater that was a little bit too festive? Last Christmas, I was putting on my grandma's sweater and the snowflakes kept falling and covering me in glitter. I couldn't even get my aunt to help me."
Give me a joke about a common household task.,"""You're supposed to use the dryer sheet in the dryer but I just use it to attract lightning. My laundry always smells like a storm."""
Make me laugh with a joke about an unusual diet.,Why does my low-carb diet always run into me in the fridge? It's always fat-cing me out.
Give me a joke about a job interview.,What do you call a job interview in a hot country? A sweattest.
Give me a joke about a pirate in a unexpected situation.,"A pirate named Brent was sailing down the Indian Ocean. The wind was blowing strong, and the waves were crashing high. Suddenly, Brent found himself trapped in a tree that had been blown down by the wind. While he was stuck in the tree, he spotted a group of fishermen nearby. If he had escaped, he would have put up his own flag and tried to pirate their boat and supplies."
Make me laugh with a joke about a red flag in a relationship.,"My girlfriend's hand has a permanent red flag, but it's not because she's aggressive, it's because she's always taking back my empty beer."
Make a joke about a bad HR response.,"Sure, here's the joke:

""You get fired sometimes for company growth, but keep working there because HR gives you plenty of free alcohol."""
Give me a joke that plays with different cultural identities.,"Two Dominican people walk into a Chinese restaurant. One says, ""Do you have any good Dominican food?"""
Can you come up with a pun about time?,"Sure, here you go:

Why did the clock make a bet with the watch?

Because it was feeling second-hand."
