Prompts,Jokes
Make me laugh with a joke about a misinterpreted compliment.,Where did the 79' year old drive the 76' old? Behind a tree
Create a humorous observation about an outdated aspect of a classic game.,I was going to tell you a joke about sex but I couldn't finish it
Can you come up with a joke that plays on expectations?,"Can you name three things that begin w.. .. .. .. .. .. .. ... Owl, cock and two balls."
Give me a joke about a clever play on words.,Give me an elephant joke! You shouldn't elephant any puns?
Make me laugh with a joke about a social justice warrior.,I was trying to work out a joke using maths... But it didn't work out
Make me laugh with a joke about Christmas.,What is Matt Damon's favorite type of music? Jason-derpop!
Give me a joke about a common household task.,Have you ever tried *going* blind? It's amazing!
Make me laugh with a joke about an unusual diet.,"A guy walks into a party, and... ...he sees there's meatloaf, potato salad, and chitterlings."
Give me a joke about a job interview.,"What's the difference between porn addicts, potheads, and gay converts? Potheads just got stoned, porn addicts just got off, and gay converts just got laid!"
Give me a joke about a pirate in a unexpected situation.,"What do you call God when you talk backwards? ""Gab?"" No."
Make me laugh with a joke about a red flag in a relationship.,A woman was driving home and stopped at a roadblock... Why? MILF arrested.
Make a joke about a bad HR response.,"A Mole walks into a bar... Barkeep says, ""What is it this time?!"""
Give me a joke that plays with different cultural identities.,Why is the grandma always angry? She's vexed.
Can you come up with a pun about time?,A horse walks into a bar The horse goes... TROT? ..... GET IT?!!?! *falls down* Joke sent to me by my best friend.
Can you come up with a joke about dolphins?,Why don't pirates tell jokes? Because CAPTain!
Tell me a joke about a high school reunion.,What does a tea-bag say ? What the FTAG Are you doing with my sister ?
Create a humorous joke about personifying an inanimate object.,My dog ran up the stairs when I called. ..... ....... ..... -Heel..!
Give me a joke about California stereotypes.,I saw a german boy chewing gum The other day - He was suck It!!
Make me laugh with a yo mama joke.,When the Muffin is done Toilet paper What do you do? You wipe it. But what do you use it for?
Create a humorous joke about a monk's grocery list.,What's small and white and red all over? Santa Claus after a fight with a fire hydrant.
Give me a joke about a math joke that's a play on words.,How do you distract a german from an elephant? You show him your arse.
Make me laugh with a joke about the DMV.,Why was there a mouse in Mary's bedroom? Because it was his suite!
Make me laugh with a joke about procrastination.,muffin I think a muffin is a fat bird with wings.
Make me laugh with a joke about a horse.,What do you get for M.A.D.D. moms? ...Dead beer
Give me a joke about a job interview.,I'm really glad I don't have to G... ...rush any marmots
Give me a joke about a politician's unusual behavior.,"G If you are blind and naked, ... ... call me."
Make me laugh with a joke about a plane.,What do you call a female midget proctologist My gynecologist!
Give me a joke about a sex toy.,J.K. Rowling... When does a paternoster leave a monastery? A... Beans!
Give me a joke about being two-faced.,Why don't skeletons fight dirty? Because they leave no ribs behind!
Give me a joke about a unique skill or talent.,A priest and a rabbi walk into a bar ... ... and...
Give me a joke about technology malfunctioning.,Did you hear thjat the grandmaster of Go is a grandmasturbater? He's a grand... ...master
Create a joke about a surprising achievement.,Jar of Poo Is Missing What Should I do? Jar of Poo is missing What Should I do?
Make me laugh with a joke about a disease.,What did one cannibal say to the other cannibal? Dinner isn't ready yet!
Make me laugh with a joke about Jehovah's Witnesses.,"Jim and Bill go M&M's. Jim goes: Bill goes: I know, we should do each other"
Give me a math joke.,A great white shark jumps over a small boat and says... What do we have here?
Make me laugh with a joke about a circus animal.,There's no 'L' in 'PMS' but there are 2 'M's
Give me a joke about a surprising solution to a global issue.,"Two ghetto kids are selling water from an underground source. Two white guys walk up, one turns to the other and says ""How come you get blue and I get bubs?"" The ghetto kids reply: ""Quarter a piece, now give her up, bubbas!"""
Give me a joke about a student's creative math answer.,Grandson asks... What's white & floats? Grandfather answers... Whole cow.
Can you come up with a joke about a play on expectations?,This may be a terrible joke but C-Einstein?
Can you come up with a joke about an exorcist?,I guess my jokes are *literally* garbage... ...I told one last night but it wasn't sanitation-ary.
"I cannot generate a prompt for a joke that contains harmful or offensive content, including racism. Is there anything else I can help you with?",I got fired from the knitting factory Today is a Sad Depressing Day. Today I lost my job And feel that emptiness and despair That gets in your hands when ...
Make me laugh with a joke about Batman.,"Mike Tyson walks into a bar... :o ""Wassup DATASSSSZ !!!!"""
Give me a dark humor joke about summer camps.,G I t G L I T T E S M O N D A Y A C T I O N!
Create a humorous joke about paranoia.,"""C"" ---- Me : My Jokes"
Give me a joke about a physics pun.,What do you call the white part of a gorilla's legs? Gorilla thighs!
Tell me a joke about adoption.,Trumpet teachers are highly in demand in high schools
Give me a joke about a beer slogan.,*G* - is for Genius.
Give me a dark joke about a common saying.,G is for grass G is also for goats But the one I love most is Goatees
Give me a joke about a bad date.,Gun joke! What's the shittiest gun? HANNA SPLIT!
Tell me a joke about clickbait.,You'd be surprised how much tea costs when you leave it in the pot too long
Make me laugh with a joke about a misunderstanding.,"How you know when you're walking in a forest *while wearing moccasins*?! *Because deers!*

### Explanation:
A play on the phrase ""how you know""? In this joke, ""you're walking in a forest while wearing moccasins"" is the setup while ""because deers"" is the punchline. But, ""whilst wearing moccasins"" throws off the rhythm and meaning of the joke, therefore requiring the punchline to be explained to understand the joke."
Make me laugh with a joke about social media.,Why did the horse get a promotion? He let his stablemate out of his ass before he was arrested.
Tell me a joke about a therapy session.,TIL
Can you come up with a tech-related pun?,I'm having trouble with my new erectile dysfunction... ...PORN OWL
Tell me a joke about a clever observation.,This joke made from thyme. It sounds thyme but it totally roses your garden so don't herb.
Give me a joke about a cultural event.,"Did you hear what Ryan Gosling said to his coffee table?... ""Let's... [coffee]"""
Give me a joke about a mother-child conversation.,"Its like the gov't is saying ""We can't afford to give you *social* security and insurance but we need your taxes to support the military to give you *free* social security and insurance."
Create a humorous classified ad.,I wish my balls were half the size of yours
Create a joke about a play on words in a medical setting.,Chuck Norris doesn't read books. He stares them down until he gets the information he wants
Create a joke about a clever play on words.,What do you call a Mexican who has no blood?... Anemic! ¡Hé! Oy veh! What's that smell?
Give me a joke about a punny microbiology incident.,What's George H.W. Bush's favorite dessert? Twofers!
Give me a joke about a play on words.,How would Gandhi fix a broken pencil ? He would change its point of view
Give me a dirty Star Wars pun.,Gave a blind guy a pair of jeans today For him to see if they were a tight fit
Give me a joke about a book title.,"What do you get when you cross a chicken, a bag, and... GROKK!"
Create a joke about a funeral.,What's C... ...eeeeeeeeeeeeeee!
Give me a joke about a misunderstanding.,"A man in a Santa hat... ...is walking down the road with a piece of carpet under his arm. When he is stopped by a cop he says, ""I saw this guy...steal a rug!"""
Give me a humorous observation about adulting.,"Just heard that the new gay version of *Star Wars* came out on DVD. It's titled ""The Clone Wars: Episode IV --- Attack the Buttwipe II."""
Can you come up with a clever play on words?,Whats brown and sound like a bell? Dung!
Can you come up with a humorous rant about parenting?,I wanted to call an eye doctor... ..but then i realized i might Blink too slowly.
Create a humorous joke about ants in the workplace.,What did C say to D?? YOU ARE SEASONED!!! ... :D
Give me a joke about a miscommunication.,What do geologists eat at lunch? Quiche!
Give me a joke about a video game reference.,George Clooney is a man's man George Clooney can drink a man under the table George Clooney can fuck a man out a girl George Clooney is fucking a man's woman (Not sure about this one)
Create a joke that plays on words.,"C is like assembly, But with fewer bits in the wrong places"
