Prompts,Jokes,promptScores,funnyScores,grammarScores,lengthScores,totalScores
Make me laugh with a joke about a misinterpreted compliment.,"You have a real knack for making people believe that you're extremely well-dressed. Of course, everyone's staring.",2,0,1,0,3
Create a humorous observation about an outdated aspect of a classic game.,"The original Mario paintbrush has not aged well, but the brush still holds onto its old charm.",2,0,1,1,4
Can you come up with a joke that plays on expectations?,"Sure, here's a joke that plays on expectations:

Why did the tomato turn red?

Because it saw the salad dressing.",2,2,1,0,5
Give me a joke about a clever play on words.,What do you call a boomerang that won't come back? A stick.,2,2,1,1,6
Make me laugh with a joke about a social justice warrior.,What do you call a social justice warrior that fights for equality but loses battles against common sense? A biased boomerang.,2,2,1,0,5
Make me laugh with a joke about Christmas.,Have you heard of Rudolph's latest business venture? Lumpia company was making cash on mince pies.,2,2,1,1,6
Give me a joke about a common household task.,Why did the housewife put a lock on her kitchen cabinet? To keep her husband out of her kitchen.,2,2,1,1,6
Make me laugh with a joke about an unusual diet.,I recently discovered that I'm allergic to Brussels sprouts. Turns out I'm not a vegetarian after all.,2,2,1,0,5
Give me a joke about a job interview.,Why did the candidate dress so well for his job interview at the yogurt store? In case he got a scoop of sour cream.,2,2,1,0,5
Give me a joke about a pirate in a unexpected situation.,"A pirate went to a library to find out who the author of his favorite book was, but he couldn't get the book back.",2,2,1,0,5
Make me laugh with a joke about a red flag in a relationship.,Have you ever been on a date where the guy seemed perfect and normal for about the first hour and a half—and then he started talking like a serial killer?,2,2,1,0,5
Make a joke about a bad HR response.,"The HR department had to scramble when the CEO offered his resignation. Turns out, the HR department has no policy on mass resignations.",2,0,1,0,3
Give me a joke that plays with different cultural identities.,What do you call a Cuban immigrant who doesn't speak Spanish? A Puerto Rican with a secret stash of rum.,2,2,1,0,5
Can you come up with a pun about time?,"Sure, here is a pun about time: Why did the clock cross the road? To get to the other temporal side.",2,2,1,0,5
Can you come up with a joke about dolphins?,Why did the dolphin cross the ocean? To get to the other tide side.,2,2,1,1,6
