Prompts,Jokes,promptScores,funnyScores,grammarScores,lengthScores,totalScores
Make me laugh with a joke about a misinterpreted compliment.,"I must have a nice butt, because, everytime I'm walking away from talking to someone they say ""What an ass?""",2,2,1,0,5
Create a humorous observation about an outdated aspect of a classic game.,You can tell Monopoly's an old game because there's a luxury tax and rich people can go to jail.,2,1,1,1,5
Can you come up with a joke that plays on expectations?,"How many Atheists does it take to change a lightbulb? I don't know, they're all too busy complaining about this joke.",2,2,1,0,5
Give me a joke about a clever play on words.,If you were on top of a pile of gay guys... would you get off?,0,2,1,1,4
Make me laugh with a joke about a social justice warrior.,What do you get if you cross a SJW and Jason Voorhees? Social justice.,2,2,1,1,6
Make me laugh with a joke about Christmas.,Santa: its snowing Christmas is canceled Put everything in the garbage Elves: no! Rudolph: what if I told you I had a very small red light,2,2,0,0,4
Give me a joke about a common household task.,I wonder how many lightbulbs it takes to change a baby.,1,2,1,1,5
Make me laugh with a joke about an unusual diet.,Did you hear about the man who ate nothing but prune juice and viagra? He couldn't tell if he was coming or going.,2,2,1,0,5
Give me a joke about a job interview.,"I went for a job interview. The bloke asked, ""Where do you see yourself in 10 yrs time?"" ""Same as now - in photos and mirrors,"" I replied",2,2,1,0,5
Give me a joke about a pirate in a unexpected situation.,"A pirate walks into a brothel and says... ""ARG! THERE SHE BLOWS!"" Edit: Wow 8 views. thanks guys :D",2,2,1,1,6
Make me laugh with a joke about a red flag in a relationship.,"If your best clothes proudly advertise Monster Energy Drink, you can't be left alone with your best looking cousin.",2,1,1,0,4
Make a joke about a bad HR response.,"Oh, you were sexually harassed in the workplace? Sounds like a personnel problem.",2,2,1,1,6
Give me a joke that plays with different cultural identities.,what did the asian german say to that Jew joke that hit the front page ? I Reich,2,2,0,1,5
Can you come up with a pun about time?,How do crows know what time is it? They have the knights watch .,2,2,0,1,5
Can you come up with a joke about dolphins?,Let's hold off calling dolphins the smartest animal until they stop getting caught in nets.,2,0,1,1,4
Tell me a joke about a high school reunion.,at my high school reunion everyone kept asking where my date was so I finally told them my dog ate him. no one laughed,2,2,1,0,5
Create a humorous joke about personifying an inanimate object.,"In time, the dust settled, and the dust took a job it hated and married someone it could barely tolerate",2,0,1,0,3
Give me a joke about California stereotypes.,California is the best state. The nerds make the apps and the agents make the moving pictures. We keep the idiots happy. Give us your water.,2,2,1,0,5
Make me laugh with a yo mama joke.,Yo mama so fat She couldn't fit in this joke.,2,2,0,1,5
Create a humorous joke about a monk's grocery list.,"This bread is my meat, this wine is my blood... ... and this beer and milk are... -Master, that's enough, I ran out of ink!",2,2,1,0,5
Give me a joke about a math joke that's a play on words.,What's 6.9? 69 interrupted by a period.,2,2,1,1,6
Make me laugh with a joke about the DMV.,"If they want to increase the use of public transit, they should start using a scale at the DMV license renewal counter.",2,0,1,0,3
Make me laugh with a joke about procrastination.,"You can't change the past. But you can sit around in your underwear, dwelling on it and crying over what could have been.",2,2,1,0,5
Make me laugh with a joke about a horse.,I had to take my horse to get surgery last week The doctor told me he's in stable condition,2,2,0,1,5
Give me a joke about a job interview.,[shows up 2 hours late for interview] Sorry I was trying to get out of a beanbag chair.,2,2,1,1,6
Give me a joke about a politician's unusual behavior.,It was so cold in D.C. today... ...that I saw a politician with his hands in his own pockets.,2,2,1,1,6
Make me laugh with a joke about a plane.,What sound does a bouncing plane make? Boeing boeing boeing,2,2,1,1,6
Give me a joke about a sex toy.,I could never be friends with a dildo. They're stuck-up cunts.,2,2,1,1,6
Give me a joke about being two-faced.,If your going to be two faced at least make one of them pretty.,2,1,0,1,4
Give me a joke about a unique skill or talent.,Masturbation should be considered a craft... as it is 100% hand made.,2,1,1,1,5
Give me a joke about technology malfunctioning.,I dropped my phone in the bath Now it's syncing.,2,2,1,1,6
Create a joke about a surprising achievement.,I was in a masturbating competition... I came 1st twice!,2,2,1,1,6
Make me laugh with a joke about a disease.,"Ebola causes nausea, headaches and is hard to get rid of. Is it a disease or a U2 album?",2,0,1,1,4
Make me laugh with a joke about Jehovah's Witnesses.,The best part of Halloween is all the Jehovah's Witnesses wondering why they're being given candy.,2,0,1,1,4
