Prompts,Jokes,promptScores,funnyScores,grammarScores,lengthScores,totalScores
Make me laugh with a joke about a misinterpreted compliment.,Where did the 79' year old drive the 76' old? Behind a tree,0,2,1,1,4
Create a humorous observation about an outdated aspect of a classic game.,I was going to tell you a joke about sex but I couldn't finish it,0,2,1,1,4
Can you come up with a joke that plays on expectations?,"Can you name three things that begin w.. .. .. .. .. .. .. ... Owl, cock and two balls.",2,2,1,1,6
Give me a joke about a clever play on words.,Give me an elephant joke! You shouldn't elephant any puns?,2,2,1,1,6
Make me laugh with a joke about a social justice warrior.,I was trying to work out a joke using maths... But it didn't work out,0,2,1,1,4
Make me laugh with a joke about Christmas.,What is Matt Damon's favorite type of music? Jason-derpop!,0,1,1,1,3
Give me a joke about a common household task.,Have you ever tried *going* blind? It's amazing!,0,2,1,1,4
Make me laugh with a joke about an unusual diet.,"A guy walks into a party, and... ...he sees there's meatloaf, potato salad, and chitterlings.",1,2,1,1,5
Give me a joke about a job interview.,"What's the difference between porn addicts, potheads, and gay converts? Potheads just got stoned, porn addicts just got off, and gay converts just got laid!",0,2,1,0,3
Give me a joke about a pirate in a unexpected situation.,"What do you call God when you talk backwards? ""Gab?"" No.",0,2,1,1,4
Make me laugh with a joke about a red flag in a relationship.,A woman was driving home and stopped at a roadblock... Why? MILF arrested.,0,2,1,1,4
Make a joke about a bad HR response.,"A Mole walks into a bar... Barkeep says, ""What is it this time?!""",0,2,1,1,4
Give me a joke that plays with different cultural identities.,Why is the grandma always angry? She's vexed.,0,2,1,1,4
Can you come up with a pun about time?,A horse walks into a bar The horse goes... TROT? ..... GET IT?!!?! *falls down* Joke sent to me by my best friend.,0,2,0,0,2
Can you come up with a joke about dolphins?,Why don't pirates tell jokes? Because CAPTain!,0,2,1,1,4
Tell me a joke about a high school reunion.,What does a tea-bag say ? What the FTAG Are you doing with my sister ?,0,2,1,1,4
Create a humorous joke about personifying an inanimate object.,My dog ran up the stairs when I called. ..... ....... ..... -Heel..!,0,2,1,1,4
Give me a joke about California stereotypes.,I saw a german boy chewing gum The other day - He was suck It!!,0,2,0,1,3
Make me laugh with a yo mama joke.,When the Muffin is done Toilet paper What do you do? You wipe it. But what do you use it for?,0,2,0,1,3
Create a humorous joke about a monk's grocery list.,What's small and white and red all over? Santa Claus after a fight with a fire hydrant.,0,2,1,1,4
Give me a joke about a math joke that's a play on words.,How do you distract a german from an elephant? You show him your arse.,0,2,1,1,4
Make me laugh with a joke about the DMV.,Why was there a mouse in Mary's bedroom? Because it was his suite!,0,2,1,1,4
Make me laugh with a joke about procrastination.,muffin I think a muffin is a fat bird with wings.,0,2,0,1,3
Make me laugh with a joke about a horse.,What do you get for M.A.D.D. moms? ...Dead beer,0,2,1,1,4
Give me a joke about a job interview.,I'm really glad I don't have to G... ...rush any marmots,0,2,1,1,4
Give me a joke about a politician's unusual behavior.,"G If you are blind and naked, ... ... call me.",0,2,0,1,3
Make me laugh with a joke about a plane.,What do you call a female midget proctologist My gynecologist!,0,0,1,1,2
