Prompts,PretrainedJokes,FinetunedJokes,DPOJokes
Make me laugh with a joke about Christmas.,"Why was Santa Claus so good at making toys? Because he was a widget! Merry Christmas! (This joke plays on the double meaning of ""widget"" - a small, simple machine, and a term for a person who is particularly good at something.)</s>", 28 Days later was actually made in early 1900's. I saw it last night. It was called Cards Against Humanity.</s>, I guess the only reason Santa is so jolly is cause he's always drunk.
Give me a joke about a common household task.,"Why did the dish go to the doctor? Because it was feeling a little dishwashered! 

I hope that brought a smile to your face! Household tasks can be tedious, but adding a bit of humor to the situation can make all the difference. If you have any other household-related jokes, feel free to share them!</s>"," 1,001 things you can do with a vacuum cleaner that your wife won't buy you.</s>", I really can't do this. I'm not even trying. I don't want to do it. I'm just cleaning the bathroom.
Make me laugh with a joke about an unusual diet.,"Why did the tomato turn red? Because it saw the salad dressing! But in the world of unusual diets, have you heard about the raw water diet? Yes, you read that right - drinking raw, untreated water straight from the source. Some proponents claim it's the purest form of hydration, but health experts strongly advise against it due to the potential risks of bacteria, parasites, and other contaminants. So, let's stick to filtered water and keep the jokes light and harmless!</s>"," 1 day a year, I follow an 80/20 diet. 80% broccoli. 20% crack.... And you should never hear me the day after.</s>",My friend was on a diet where he could only eat potatoes every meal. He was doing great until he found out that you can get ketchup and sour cream as a side for potatoes at fast food restaurants.
Give me a joke about a job interview.,"Why did the interviewer ask the candidate to bring a ladder to the job interview? The interview was for a position as a gopher in a golf course. The candidate brought a ladder anyway, thinking it was a typo and it was actually a job for a laddar. (Laddar is not a real word, it's a typo intended to be a ladder)

I hope that brought a smile to your face! If you have any other requests or need more jokes, feel free to ask. Have a great day! 😊</s>"," 1) Did you not get the news? You're perfect for the position I'm hiring for. 2) I'd hire you, but it's too late... I'd love to but I'm having a hard time letting go of my assistant.</s>", What is the question I always ask in interviews? Do you have a question for me?
Make me laugh with a joke about a relationship.,"Why don't couples ever play hide and seek? Because good luck hiding when your significant other can find your underwear! But seriously, relationships can be challenging and it's important to keep a sense of humor about them. Do you have any favorite relationship jokes or funny stories to share? I'd love to hear them!</s>"," 30 days of oral sex my love I am willing to try. 1,000 for a vasectomy I will not.</s>","I don't have a girlfriend, just one ex-girlfriend and three potential ones."
Can you come up with a pun about time?,"Why don't clocks ever get lost? Because they always keep time! I hope that was a good one! Let me know if you have any other requests or if there's anything else I can help you with. Have a great day!

Here are a few more time-related puns for you:

1. Why did the tomato turn red in the rain? Because it saw its reflection in the puddle and thought it was sun-ripe time!
2. Why did the bicycle fall over? Because it was two-tired! But seriously, it was time for a rest.
3. Why did the scarecrow win an award? Because he was outstanding in his field! But really, he was just outstanding in his time.
4. Why did the golfer bring two pairs of pants? In case he got a hole in one! But also, in case he needed a change of time.
5"," 10 minutes in the sun makes me an egg, 10 minutes of sun to a hot car makes me an angry mom.</s>", Why did the clock break? because it ticked me off.
Can you come up with a joke about dolphins?,"Why don't dolphins use Facebook? They're very social, but they prefer to keep it in the pod. 

I hope that brought a smile to your face! Dolphins are indeed very social creatures, and they are known for their complex social structures and communication skills. They are also quite intelligent, which is why they are often referred to as the ""smiling porpoises"" due to their distinctive toothless grins.

Dolphins are found in oceans and seas all around the world, and they are a popular subject of study for scientists due to their many fascinating behaviors and adaptations. They are also beloved by people for their playful and curious nature, and they are often used as symbols of joy, freedom, and intelligence.

One interesting thing about dolphins is that they are able to breathe air through their blowholes, which are located on the top of their heads. This allows them to surface to breathe", 1000 dolphins can't swim around you if you have an IQ around 98.</s>,"A Dolphin walks up to a man on shore, says, ""I think I've been chewing on a bit of plastic, can you check?"" The man turns to face him and smiles ""I didn't know you even noticed!"""
Tell me a joke about a high school reunion.,"15 years after the high school prom, I went to my 10 year reunion. I went to the 20 year reunion last night... I still can't find my prom dress. :-D

This is an oldie but a goodie. I've heard it many times, but it still makes me laugh.

10 more High School Reunion Jokes

Why did the girl go to the high school reunion alone?
She lost her date in the alumni pool.

Why did the girl go to the high school reunion in a wheelchair?
She wanted to go over old grounds.

Why did the girl go to the high school reunion in a bathing suit?
She heard there was going to be a dip in the class of '88.

Why did the girl go to the high school reunion in a trench coat?
She wanted to cover up", 10 more years 10 more beers</s>, If you went to Ft. White hight school in Florida this is what you missed/might still see
Give me a joke about a math joke that's a play on words.,"Why was the math book sad? Because it had too many problems. But here's a twist on that: Why was the calculus textbook unhappy? It had a derivative! (Get it? Derivative sounds like ""deprived of,"" so the textbook was ""deprived of happiness"" or unhappy.)</s>", 7 ÷ 2 ≡ 7.222222 ... Is this a joke?</s>, Why don't we use the alphabet for mathematics? It has no numbers!
Make me laugh with a joke about the DMV.,"Why don't the DMV and the post office ever play hide and seek? Because good luck hiding when you're always in the public eye! 

I hope that brought a smile to your face! If you have any other requests, feel free to ask.</s>"," 25 years after his death, Hitler's DMV record expired..</s>", Wtf is the point of getting your driver's license at the DMV? It's just an excuse to make other people wait for you while you do NOTHING
Make me laugh with a joke about procrastination.,Why was the student always late with his assignments? Because he was waiting for the last minute to roll around! But here's a pro tip: don't wait for the last minute to start working on your joke writing skills. Practice makes perfect!</s>," 2 kids are fighting and arguing about who procrastinates the most. The boy says ""I procrastinate more."", the girl says ""No I do."" The boy says ""Fine, let's race and see who can go the entire race without getting first.""</s>",A procrastinator procrastinated to procrastination. She couldn't help herself.
Make me laugh with a joke about a horse.,"Why don't horses make good secret keepers? Because they have lips that move. Horses can't actually keep secrets, but this joke is a fun play on words and is sure to bring a smile to your face.</s>"," 100 years ago it took a month for a horse to walk from east to west, now it takes 3 miles.</s>"," [image of a horse with a horse shaped bubble] Oh, so you make horse bubble too."
Give me a joke about a job interview.,"Why did the interviewer ask the candidate to bring a ladder to the job interview? The interview was for a position as a gopher in a golf course. The candidate brought a ladder anyway, thinking it was a typo and it was actually a job for a laddar. (Laddar is not a real word, it's a typo intended to be a ladder)

I hope that brought a smile to your face! If you have any other requests or need more jokes, feel free to ask. Have a great day! 😊</s>", 3 Interviews. No Jobs. 3 Dogs. 14 Houses.</s>," **Interviewer** ""So why do you want this job?"" **Me** ""I couldn't get the other one"""
Make me laugh with a joke about a plane.,"Why don't planes ever forget things? Because they have jet memory! I hope that brought a smile to your face. If you have any other plane-related jokes or topics you'd like me to write about, feel free to ask!

Now, let's talk about something more serious but still related to planes - airplane food. Have you ever wondered how they manage to serve meals on a plane, given the limited space and resources? In this article, we'll explore the fascinating world of airplane food and the challenges that come with it.

The History of Airplane Food

The first in-flight meals were served on transatlantic flights in the 1930s and 1940s. Back then, airline companies wanted to make flying a luxurious experience to attract wealthy passengers. Meals were often multi-course and prepared on board using high-quality ingredients.

However, as air travel", ....what's the easiest way to calm down a terrified plane passenger? Make them realize the plane is actually made of aeroplane.</s>,"A pilot walks into a bar and orders a drink. He looks at the bar and says ""That plane is never gonna leave here""."
Give me a joke about technology malfunctioning.,"Why don't computers take their hats off when entering a room?

Because they're already unplugged!

Technology can be quite unpredictable at times, and a good laugh never hurts when things aren't going as planned. This joke plays on the idea of computers being ""unplugged"" or disconnected, which is a common occurrence when technology malfunctions. It's a light-hearted way to remind us that even in the digital world, sometimes a simple solution is all that's needed to get things back on track.</s>", 72% of people who commit suicide did not finish the 45 minute mandatory tutorial on using their cellphone.</s>, **Buzz Lightyear joke. I came home at 4am on a Friday and switched off my lights... I woke up at 2pm on Saturday thinking my house was haunted but it was just a bug in my phone. **
Make me laugh with a joke about a disease.,"Why don't diseases take vacations? Because they already have a work ethic!  I hope that brought a smile to your face. Remember, laughter is good for the soul and can help boost your immune system. Stay healthy and keep laughing!</s>", 14 Ways to Get SARS</s>, I have a disease making me extremely ticklish...but it's no laughing matter ;)
Make me laugh with a joke about Jehovah's Witnesses.,"Why did the Jehovah's Witness go to the doctor?

Because he had a little ""JW"" in him! 

(Note: This joke is meant in good fun and is not intended to offend or disrespect anyone's beliefs.)</s>"," 16-year-old girls don't wear jeans, they wear Jehovah's Witnesses.</s>", When you come back from vacation and the Jehovah's Witnesses are still trying to knock on your door.
Give me a math joke.,"2 apples plus 3 apples equals... How about 5 apples? But if you add 2 apples to yourself, then that makes 3 of you, and if you each have 3 apples, that's 5 apples in total! So, 2 apples plus 3 apples does indeed equal 5 apples... if you're an apple- loving mathematician!</s>", 3*4-2 = 2. What on earth is that? The multiplication table is a tricky little thing isn't it?</s>, What does a ℇ mean?  E-flat? What's a real joke about mathematicians?
Make me laugh with a joke about a circus animal.,"Why don't elephants hide their candy from monkeys at the circus? Because they have really bad memory ele-phans! (I know it's a play on the phrase ""elephants never forget,"" but I thought it was still funny!)</s>", 11/31 joke What's the difference between a tiger and a lion? One day. 11 months.</s>,"My dog's getting a tattoo because he keeps biting other people's dogs and I want them to know that he belongs to me. Oh, and my dog is an alligator."
Can you come up with a joke about an exorcist?,"Why did the exorcist bring a ladder? To get to the highest bidder! But remember, humor can be subjective and not everyone may find this joke funny. Always consider your audience before sharing a joke.</s>"," 1, 2, exorcist. This joke wrote itself.</s>",I've got the best exorcist in the world: He's an atheist.
Make me laugh with a joke about Batman.,"Why did Batman carry a pencil?

Not for drawing rooftops or crime scenes, but in case he encountered the Riddler! Because a good detective is always ready to solve a puzzle! 🕵️‍♂️📝 #BatmanJoke #Riddler #GothamCityHumor</s>", 5-Batman: [joking] Why don't you write jokes about Batman while being in a cave? You might end up writing a pun.</s>," I've always wanted to make a Batman joke, Why did Batman get a ticket? Because he was dark knight riding."
