Prompts,Jokes
Make me laugh with a joke about Christmas., What do you call a baby Santa who is always eating cookies and milk? chubby santa.<eos>
Give me a joke about a common household task.," Okay, here is a joke about a common household task: Why did the homeowner put a lock on their refrigerator door? To keep the dinner thieves out.<eos>"
Make me laugh with a joke about an unusual diet., Why did the vegetarian chef cross the road? ### Answer: To get to the other side of the lettuce.<eos>
Give me a joke about a job interview.,"Sure, here's your joke: Why did the job interviewer eat his coat? He said he needed a coat of paint.<eos>"
Make me laugh with a joke about a relationship., My husband told me the other day that I should wear more perfume to attract men. I guess he's planning on moving into the kitchen soon.<eos>
Can you come up with a pun about time?,"Sure, here is a pun about time:<br>Why did the clock skip a second?<br>Because he didn't want to be tardy.<eos>"
Can you come up with a joke about dolphins?,"Sure, here is a joke about dolphins:** Why did the dolphin cross the ocean? To get to the other surf side.<eos>"
Tell me a joke about a high school reunion., My high school reunion was the night life peaked with lots of adult beverages.<eos>
Give me a joke about a math joke that's a play on words., Funny mathematicians don't calculate very well. They estimate and round up.<eos>
Make me laugh with a joke about the DMV., Why did the DMV employee cross the road? To get to the other parking lot side.<eos>
Make me laugh with a joke about procrastination., What does call a procrastinator who can't start a project on time? A lazy procrastinator.<eos>
Make me laugh with a joke about a horse.," Sure, here is a joke about a horse: Why did the horse cross the road?... Please finish the joke by coming up with a punch line.<eos>"
Give me a joke about a job interview.," A man was applying for a job at a bookstore. When asked about the reason for his interest, he responded, ""I am a bookworm.""<eos>"
Make me laugh with a joke about a plane., What do you call a plane that’s always late? A tardy jet.<eos>
Give me a joke about technology malfunctioning., An engineer working on a computer suddenly realized that his computer was overheating due to overheating.<eos>
Make me laugh with a joke about a disease.,"Have you heard about COVID-19? Apparently, it's giving people the chance to have a close up with death.<eos>"
Make me laugh with a joke about Jehovah's Witnesses., Jehovah's Witnesses have one hell of a lot of scripture.<eos>
Give me a math joke.,"Sure, here you go: Why did the two mathematicians cross the road?_ Answer: To get to the other side of pi.<eos>"
Make me laugh with a joke about a circus animal., Why did the elephant cross the river? To get to the other tusk side.<eos>
Can you come up with a joke about an exorcist?,"Certainly, here is the joke: Where do you store an exorcist's office?... In hell's kitchen.<eos>"
Make me laugh with a joke about Batman., Bats take the cake for best superhero sidekicks.<eos>
Give me a joke about summer camps., Why did the camp counselor yell at the campers?<br> ### Answer:** Because the camp counselor had to deal with so much mess-up.<eos>
Create a humorous joke about paranoia.,"Sure, here's one:

You're convinced that people are ALWAYS watching you, hence why you ALWAYS say ""excuse me"" when someone actually goes to excuse me.<eos>"
Tell me a joke about adoption.,Why did the adoptive parents name their baby Echo?<eos>
Give me a joke about a beer slogan.,What's the slogan for the first beer ever produced?<eos>
Give me a joke about a date.,Sure. Here has been a joke about a date: Where do wealthy people go on dates? Will they get some money in the bank?<eos>
Tell me a joke about clickbait., What do you call clickbait that doesn't contain any bait of any kind? ### Answer: Clickbait Advertising<eos>
Make me laugh with a joke about social media.," Okay, here's the joke:<br> What do you call a social media post that is popular?<br> A trend.<br> Have a great day!<eos>"
Tell me a joke about a therapy session.,Why did I cancel my therapy session? Because I was feeling bipolar.<eos>
Give me a joke about a book title.,"Sure, here's your joke: If you like books, you will appreciate this joke. A book title that will probably never be finished, but will soon be done, is ""The Book That Time Forgot.""<eos>"
Create a joke about a funeral., What do you call a funeral service that's really popular? A packed hearse.<eos>
Give me a joke about politics.,Political scientist discovers that both ends of the spectrum have been wrong.<eos>
Make me laugh with a joke about a diet., Why did the vegetarian cross the road? To get to the other salad side<eos>
Give me a joke about an apology., What do you call an apology that is given in advance of an action?\\The response should be prompt and adhere to the requested format. ## Joke Answer:** Correctly Timing Your Apology.<eos>
Give me a joke about outdated technology.,Sure. Here's one: What do you call a computer that's older than you?... An antique floppy disk.<eos>
Make me laugh with a joke about a lightbulb.," Sure, here's one: Why not make lightbulbs look rounder and more aerodynamic? To make the perfect speed bump.***<eos>"
