Jokes,Prompts
Santa: its snowing Christmas is canceled Put everything in the garbage Elves: no! Rudolph: what if I told you I had a very small red light,Make me laugh with a joke about Christmas.
I wonder how many lightbulbs it takes to change a baby.,Give me a joke about a common household task.
Did you hear about the man who ate nothing but prune juice and viagra? He couldn't tell if he was coming or going.,Make me laugh with a joke about an unusual diet.
"I went for a job interview. The bloke asked, ""Where do you see yourself in 10 yrs time?"" ""Same as now - in photos and mirrors,"" I replied",Give me a joke about a job interview.
"If your best clothes proudly advertise Monster Energy Drink, you can't be left alone with your best looking cousin.",Make me laugh with a joke about a relationship.
How do crows know what time is it? They have the knights watch .,Can you come up with a pun about time?
Let's hold off calling dolphins the smartest animal until they stop getting caught in nets.,Can you come up with a joke about dolphins?
at my high school reunion everyone kept asking where my date was so I finally told them my dog ate him. no one laughed,Tell me a joke about a high school reunion.
What's 6.9? 69 interrupted by a period.,Give me a joke about a math joke that's a play on words.
"If they want to increase the use of public transit, they should start using a scale at the DMV license renewal counter.",Make me laugh with a joke about the DMV.
"You can't change the past. But you can sit around in your underwear, dwelling on it and crying over what could have been.",Make me laugh with a joke about procrastination.
I had to take my horse to get surgery last week The doctor told me he's in stable condition,Make me laugh with a joke about a horse.
[shows up 2 hours late for interview] Sorry I was trying to get out of a beanbag chair.,Give me a joke about a job interview.
What sound does a bouncing plane make? Boeing boeing boeing,Make me laugh with a joke about a plane.
I dropped my phone in the bath Now it's syncing.,Give me a joke about technology malfunctioning.
"Ebola causes nausea, headaches and is hard to get rid of. Is it a disease or a U2 album?",Make me laugh with a joke about a disease.
The best part of Halloween is all the Jehovah's Witnesses wondering why they're being given candy.,Make me laugh with a joke about Jehovah's Witnesses.
Why did 8 break up with 7? Because 7 always came first!!!,Give me a math joke.
Q: What happened when the dog went to the flea circus? - A: It stole the show!,Make me laugh with a joke about a circus animal.
If you don't pay your exorcist you can get repossessed. HA.,Can you come up with a joke about an exorcist?
What do you call it when Batman leaves church early? Christian Bale,Make me laugh with a joke about Batman.
Where do kids with ADHD go for the summer? Concentration camp.,Give me a joke about summer camps.
"I'm not paranoid, but I feel like there's someone reading this...",Create a humorous joke about paranoia.
"""Son, I wanted to let you know you were adopted,"" my dad told me. ""Are you kidding? Really?"" I shouted. ""Yup, get ready,"" he said. ""They'll be picking you up in about an hour.""",Tell me a joke about adoption.
Butte Creek beer slogan! It dont taste shitty!,Give me a joke about a beer slogan.
I told her it's been a while. She told me that was fine. It's just like riding a bike. Now she's mad I checked her for proper inflation,Give me a joke about a date.
I finally figured out the secret to click bait.,Tell me a joke about clickbait.
"If you can read this please let me know because, it means I blocked the wrong person. I'm still getting used to this Stupid timeline!",Make me laugh with a joke about social media.
"Show me on this Russian nesting doll where the bad man hid many more, smaller versions of you",Tell me a joke about a therapy session.
How I Crossed the Desert by Rhoda  Camul,Give me a joke about a book title.
The inventor of inappropriate innuendo has died. His family are taking it really hard.,Create a joke about a funeral.
The problem with political jokes is that they always get elected,Give me a joke about politics.
I thought about going on an all-almond diet But that's just nuts.,Make me laugh with a joke about a diet.
"A Women' Apology I am sorry, But it was Your mistake.",Give me a joke about an apology.
PLEASE LEAVE A VOICEMAIL (if you're calling from 1986),Give me a joke about outdated technology.
How many mexicans does it take to change a lightbulb? Only juan.,Make me laugh with a joke about a lightbulb.
OMG I'M SO OLD AND OUT OF TOUCH WITH POP MUSIC WHAT SONG DOES BREXIT SING,Give me a joke about being out of touch with modern culture.
You know that warm feeling you get when you look at your spouse? It's called acid reflux.,Give me a joke about marriage.
"My girlfriend just got mad and accused me of stalking her. Well, she's not actually my girlfriend yet.",Can you come up with a joke about a stalker?
Why did the chicken commit suicide? To get to the other side...,Make me laugh with a joke about a chicken.
What did the NSA agent say to the other NSA agent when he saw the German Chancellor? I'd tap that.,Give me a joke about a spy agency.
It's ironic how the people that take a picture of themself in the mirror can't see how stupid they look.,Make me laugh with a joke about selfies.
What is Al Qaeda's favourite team? New York Jets,Make me laugh with a joke about a terrorist organization.
"""Git yer cotton pickin hands off a my gin."" -Eli Whitney",Give me a joke about a historical figure.
HER: do u have a condom ME: u bet [whistles] [an eagle flies thru the window & drops off a cat] H: holy shit M: ya sometimes he brings cats,Give me a joke about a conversation.
"The doctor told Harry Potter to drink 2L of Water a Day, but Harry didn't listen. Harry Potter and the Kidney Stone.",Make me laugh with a joke about Harry Potter.
My credit card number is 4339-8245... Wait. Is this Amazon?,Give me a joke about online shopping.
"Why do they call it a ""waist""? Because you could easily fit another pair of tits down there.",Give me a joke about body parts.
I like my chocolate like I like my men. Rich.,Give me a joke about a woman's preferences.
One horribly inappropriate comment and you'll never be shown another baby photo at work ever again. Totally worth it.,Make me laugh with a joke about office etiquette.
{Kid's bday party} Me: Where's the cake? Mom of kid: We don't believe in sugar. Me: I promise it's real. I've seen it with my own eyes.,Give me a humorous joke about a birthday party.
How can you tell if a potato is baked? It's [eyes](http://i.imgur.com/KwCyY.jpg) are all red and glossy.,Make me laugh with a joke about a potato.
No one shows their true character more than when they are retrieving their bags from baggage claim,Tell me a joke about airport etiquette.
"If you had a million dollars and gave away one quarter, and another quarter, and then another quarter, how much would you have left? A million dollars minus 75 cents.",Make me laugh with a joke about math.
"Cause of death is still a mystery... Authorities haven't ruled out foul play, after finding prince at the scene.",Create a joke about a death investigation.
"Movember I've decided to buck the trend of Movember this year by not growing a moustache. I'm calling it No-Movember.... Or for short, November.",Give me a joke about a month.
I always give 100% Which is why I was sacked from being an exam marker.,Give me a joke about a job performance review.
What does the head of the Catholic Church used to buy goods online? Papal,Give me a joke about the Pope.
"Was gonna' make a long joke about gastrointestinal problems but, I digest.",Give me a joke about a bad comedian.
How did the medical community come up with the term PMS? Mad cow disease was already taken.,Give me a joke about a medical condition.
What's the difference between me and a calendar? A calendar has dates. #foreveralone,Make me laugh with a joke about being single.
"Do you know that percussionist in the band? Yeah, he rings a bell.",Make me laugh with a joke about a musician.
How many tickles does an octopus like? Ten-tickles,Can you come up with a joke about an octopus?
The proper skirt length is at least 2 inches below your cellulite.,Give me a joke about fashion advice.
What's another name for a casket? Mourning wood.,Give me a joke about a funeral.
What's Beethoven's favorite fruit? Ba-na-na-naaa!,Make me laugh with a music pun.
Reddit is like a shiny new penny... It's fun to look at but completely worthless,Give me a joke about social media.
Who is this Rorschach guy? ... and why does he paint so many pictures of my parents fighting?,Can you come up with a joke about a famous psychologist?
Dinosaurs are a lot like my will to live Both died many many years ago,Make me laugh with a joke about dinosaurs.
Shoutout to toilet paper... ...for always being there for me while I'm having a shitty day.,Give me a joke about toilet paper.
What will they play at the presidential inauguration if Republicans win? Trump-ets I'll see myself out,Give me a joke about a political event.
What's hardest part about eating bald pussy? Putting the diaper back on.,Make me laugh with a joke about a cat.
"My daddy always warned me about the 3 rings of marriage: the engagement ring, the wedding ring, and the suffering.",Give me a joke about marriage.
"Water evaporates, condenses, precipitates, and evaporates again. It's a viscous cycle.",Give me a joke about the water cycle.
Think of this election like turning on a racetrack You do have two decisions but it probably won't be right.,Give me a joke about politics.
what's the difference between a wife and a job? After 10 years the job still sucks.,Make me laugh with a joke about marriage.
"I couldn't find the thingy that peels the carrots and potatoes, so I asked the kids if they'd seen it. Apparently, she left me a few days ago.",Give me a joke about a kitchen utensil.
What is the difference between British beer and a pussy? The pussy only tastes like piss at the start.,Make me laugh with a joke about beer.
Oxygen and Magnesium walk into a bar... OMg!,Create a joke about elements.
What happens when a lighter smokes weed? It becomes a high-lighter!,Make me laugh with a joke about a play on words.
Do you avoid clickbait properly? You don't,Make me laugh with a joke about the internet.
A short but funny joke your dick,Give me a joke about body parts.
How do you make your wife cry when you're having sex? Ring her up and let her listen,Make me laugh with a joke about a bad husband.
Life is too short to have a small breasted dental hygienist.,Give me a joke about a dentist's office.
What do you say to a chav that has got a job? Bigmac and fries please,Give me a joke about a fast food worker.
"What did one lesbian vampire say to the other? ""see you next month""",Give me a joke about a vampire's social life.
Why do cows have bells? Because their horns don't work.,Make me laugh with a joke about cows.
Hey guys! I reversed entropy! yportne,Make me laugh with a joke about science.
Christian Mingle: God has hidden a spouse for you on our website. Pay us $30 and see if you can find them.,Give me a joke about a dating website.
What do you call a fight between film actors ? Star wars !,Make me laugh with a joke about movie puns.
My girlfriend was crying because she had gum in her hair. I told her to cut it out.,Give me a joke about a bad boyfriend.
Q: What does a king do when he burps? A: He issues a royal pardon.,Create a joke about royal etiquette.
How do turtles communicate? With shell phones.,Make me laugh with a joke about turtles.
What's the difference between Usain Bolt and Hitler? Usain Bolt can finish a race,Make me laugh with a joke about a historical figure.
"I turn heads every time I go to work Makes sense, I'm a chiropractor.",Make me laugh with a joke about a chiropractor.
Why don't the Mexicans have an olympics team? Because anybody who can run jump or swim is in the States.,Make me laugh with a joke about immigration.
Always buy 'hand wash only' shirts whenever you want to wear something once and then throw it into a 'hand wash only' basket for 15 years.,Give me a joke about doing laundry.
"2 password hashes were walking down the street, one was assaulted",Give me a joke about computer security.
What is a gay guys favorite search engine? Bing Bing,Give me a joke about a search engine.
"The nephew I'm babysitting has been in a corn maze since Thursday, but I rationalize by thinking he has plenty to eat.",Make me laugh with a joke about babysitting.
